group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
input-generator,2400,,,,449181125.0,ns,1
input-generator,2400,,,,407459667.0,ns,1
input-generator,2400,,,,422563125.0,ns,1
input-generator,2400,,,,440847917.0,ns,1
input-generator,2400,,,,458340583.0,ns,1
input-generator,2400,,,,646834500.0,ns,1
input-generator,2400,,,,422001375.0,ns,1
input-generator,2400,,,,590284875.0,ns,1
input-generator,2400,,,,806885250.0,ns,1
input-generator,2400,,,,876197500.0,ns,1
input-generator,2400,,,,894262292.0,ns,1
input-generator,2400,,,,822421834.0,ns,1
input-generator,2400,,,,880931458.0,ns,1
input-generator,2400,,,,760694292.0,ns,1
input-generator,2400,,,,452195708.0,ns,1
input-generator,2400,,,,423708375.0,ns,1
input-generator,2400,,,,444836000.0,ns,1
input-generator,2400,,,,447377833.0,ns,1
input-generator,2400,,,,485985833.0,ns,1
input-generator,2400,,,,832983125.0,ns,1
input-generator,2400,,,,431858750.0,ns,1
input-generator,2400,,,,476457167.0,ns,1
input-generator,2400,,,,499457959.0,ns,1
input-generator,2400,,,,764716417.0,ns,1
input-generator,2400,,,,453528167.0,ns,1
input-generator,2400,,,,640871750.0,ns,1
input-generator,2400,,,,572603708.0,ns,1
input-generator,2400,,,,471503000.0,ns,1
input-generator,2400,,,,528269583.0,ns,1
input-generator,2400,,,,576630292.0,ns,1
input-generator,2400,,,,602181542.0,ns,1
input-generator,2400,,,,630081250.0,ns,1
input-generator,2400,,,,585588833.0,ns,1
input-generator,2400,,,,699684458.0,ns,1
input-generator,2400,,,,720087083.0,ns,1
input-generator,2400,,,,523669750.0,ns,1
input-generator,2400,,,,466530208.0,ns,1
input-generator,2400,,,,456880625.0,ns,1
input-generator,2400,,,,471154792.0,ns,1
input-generator,2400,,,,519865834.0,ns,1
input-generator,2400,,,,492147500.0,ns,1
input-generator,2400,,,,565439250.0,ns,1
input-generator,2400,,,,1397871792.0,ns,1
input-generator,2400,,,,1042379584.0,ns,1
input-generator,2400,,,,1011412167.0,ns,1
input-generator,2400,,,,1004350750.0,ns,1
input-generator,2400,,,,998549250.0,ns,1
input-generator,2400,,,,797718833.0,ns,1
input-generator,2400,,,,626122917.0,ns,1
input-generator,2400,,,,661921250.0,ns,1
input-generator,2400,,,,731686708.0,ns,1
input-generator,2400,,,,884580084.0,ns,1
input-generator,2400,,,,939272084.0,ns,1
input-generator,2400,,,,1244877208.0,ns,1
input-generator,2400,,,,826639416.0,ns,1
input-generator,2400,,,,902815542.0,ns,1
input-generator,2400,,,,812510458.0,ns,1
input-generator,2400,,,,1013712958.0,ns,1
input-generator,2400,,,,825893166.0,ns,1
input-generator,2400,,,,802248916.0,ns,1
input-generator,2400,,,,782190000.0,ns,1
input-generator,2400,,,,901609708.0,ns,1
input-generator,2400,,,,907088833.0,ns,1
input-generator,2400,,,,739542917.0,ns,1
input-generator,2400,,,,814255500.0,ns,1
input-generator,2400,,,,786819792.0,ns,1
input-generator,2400,,,,709495333.0,ns,1
input-generator,2400,,,,699725042.0,ns,1
input-generator,2400,,,,745661666.0,ns,1
input-generator,2400,,,,712337958.0,ns,1
input-generator,2400,,,,711103209.0,ns,1
input-generator,2400,,,,735649209.0,ns,1
input-generator,2400,,,,703687917.0,ns,1
input-generator,2400,,,,722843917.0,ns,1
input-generator,2400,,,,607926250.0,ns,1
input-generator,2400,,,,727495542.0,ns,1
input-generator,2400,,,,687681416.0,ns,1
input-generator,2400,,,,646873083.0,ns,1
input-generator,2400,,,,871378958.0,ns,1
input-generator,2400,,,,841667084.0,ns,1
input-generator,2400,,,,1306463500.0,ns,1
input-generator,2400,,,,1015748041.0,ns,1
input-generator,2400,,,,1142049250.0,ns,1
input-generator,2400,,,,1207708875.0,ns,1
input-generator,2400,,,,645288416.0,ns,1
input-generator,2400,,,,702903500.0,ns,1
input-generator,2400,,,,644822667.0,ns,1
input-generator,2400,,,,708386500.0,ns,1
input-generator,2400,,,,655524875.0,ns,1
input-generator,2400,,,,844911375.0,ns,1
input-generator,2400,,,,837422167.0,ns,1
input-generator,2400,,,,627124375.0,ns,1
input-generator,2400,,,,1090956000.0,ns,1
input-generator,2400,,,,958832250.0,ns,1
input-generator,2400,,,,793277708.0,ns,1
input-generator,2400,,,,1050943125.0,ns,1
input-generator,2400,,,,922164042.0,ns,1
input-generator,2400,,,,799254667.0,ns,1
input-generator,2400,,,,815418542.0,ns,1
input-generator,2400,,,,823810208.0,ns,1
